feature_index,feature_name,matrix_block,family,subfamily,source_column_or_encoder,transform,used_in_main_I_LightGBM_Dense_AF,note
175,gold_prefix_thought_test_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_prefix_thought_test_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
176,gold_last_action_test_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_last_action_test_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
177,gold_last_feedback_test_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_last_feedback_test_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
178,gold_last_thought_test_hit_any,dense,dense_bool,structured_gold_answer_bool,gold_last_thought_test_hit_any,standardized numeric / bool cast / one-hot categorical,yes,
179,last_step_action_major_type____MISSING__,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_major_type,standardized numeric / bool cast / one-hot categorical,yes,
180,last_step_action_major_type__cleanup,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_major_type,standardized numeric / bool cast / one-hot categorical,yes,
181,last_step_action_major_type__execute,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_major_type,standardized numeric / bool cast / one-hot categorical,yes,
182,last_step_action_major_type__none,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_major_type,standardized numeric / bool cast / one-hot categorical,yes,
183,last_step_action_major_type__read,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_major_type,standardized numeric / bool cast / one-hot categorical,yes,
184,last_step_action_primary_subtype____MISSING__,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_primary_subtype,standardized numeric / bool cast / one-hot categorical,yes,
185,last_step_action_primary_subtype__cleanup,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_primary_subtype,standardized numeric / bool cast / one-hot categorical,yes,
186,last_step_action_primary_subtype__git,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_primary_subtype,standardized numeric / bool cast / one-hot categorical,yes,
187,last_step_action_primary_subtype__none,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_primary_subtype,standardized numeric / bool cast / one-hot categorical,yes,
188,last_step_action_primary_subtype__read_search,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_primary_subtype,standardized numeric / bool cast / one-hot categorical,yes,
189,last_step_action_primary_subtype__run_cli,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_primary_subtype,standardized numeric / bool cast / one-hot categorical,yes,
190,last_step_action_primary_subtype__run_python,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_primary_subtype,standardized numeric / bool cast / one-hot categorical,yes,
191,last_step_action_primary_subtype__test,dense,dense_one_hot,action_taxonomy_categorical,last_step_action_primary_subtype,standardized numeric / bool cast / one-hot categorical,yes,
192,gold_repo____MISSING__,dense,dense_one_hot,structured_gold_answer_categorical,gold_repo,standardized numeric / bool cast / one-hot categorical,yes,
193,gold_repo__astropy/astropy,dense,dense_one_hot,structured_gold_answer_categorical,gold_repo,standardized numeric / bool cast / one-hot categorical,yes,
194,gold_repo__django/django,dense,dense_one_hot,structured_gold_answer_categorical,gold_repo,standardized numeric / bool cast / one-hot categorical,yes,
195,gold_repo__matplotlib/matplotlib,dense,dense_one_hot,structured_gold_answer_categorical,gold_repo,standardized numeric / bool cast / one-hot categorical,yes,
196,gold_repo__mwaskom/seaborn,dense,dense_one_hot,structured_gold_answer_categorical,gold_repo,standardized numeric / bool cast / one-hot categorical,yes,
197,gold_repo__pallets/flask,dense,dense_one_hot,structured_gold_answer_categorical,gold_repo,standardized numeric / bool cast / one-hot categorical,yes,
198,gold_repo__psf/requests,dense,dense_one_hot,structured_gold_answer_categorical,gold_repo,standardized numeric / bool cast / one-hot categorical,yes,
199,gold_repo__pydata/xarray,dense,dense_one_hot,structured_gold_answer_categorical,gold_repo,standardized numeric / bool cast / one-hot categorical,yes,
